# Gemini 網頁版價格查詢提示詞（複製貼上）

以下係香港冷氣機型號清單（CSV 格式）。請你逐個型號用公開網絡資料
（Price.com.hk、BigGo、豐澤、百老匯、友和、品牌官網等）搜尋最新市場
售價範圍，並以 CSV 格式回覆（唔好加任何多餘文字，淨係 CSV）。

CSV 欄位：brand,model,price_low,price_high,source

規則（必須遵守）：
1. price_low / price_high 只填整數港元，唔好有 $ 或逗號（例：2500）
2. 只搜「冷氣機」本體價格；遙控器、濾網、安裝費等一律忽略
3. 搜尋結果只有一個價錢時，price_low = price_high = 該價錢
4. **搜唔到可靠資料嘅型號，price_low 同 price_high 留空**——嚴禁估計、嚴禁填舊資料當新價
5. source 填你實際參考嘅網站名（例：BigGo、Price.com.hk），搜唔到就留空
6. 唔好省略任何一行，所有輸入型號都要出現喺輸出

輸入 CSV：

brand,model
CANOPUS 肯特,TA-09EOG
TOSOT 大松,W09R5A
Carrier 開利,CHK09BE
Midea 美的,MW-09CR8C
HITACHI 日立,RA-10RF
Rasonic 樂信,RC-XG9
CANOPUS 肯特,TA-12EOG
Midea 美的,MW-12CR8C
Carrier 開利,CHK12BE
TOSOT 大松,W12R5A
Rasonic 樂信,RC-XG12
CANOPUS 肯特,TA-18EOG
Carrier 開利,CHK18BE
TOSOT 大松,W18R5A
FUJI 富士,RFR18FNTN
TOSOT 大松,W24R5A
COMFEE,CWF-09CRFN8-AD5
Carrier 開利,CHK09EAVXP
Midea 美的,MW-09CRF8B
Gree 格力,GWF09P
Panasonic 樂聲,CW-HU90AA
COMFEE,CWF-12CRFN8-AD5
Carrier 開利,CHK12EAVXP
Gree 格力,GWF12DB
General 珍寶,AMWB12NID
Panasonic 樂聲,CW-HU120AA
COMFEE,CWF-18CRFN8-AD5
Carrier 開利,CHK18EAVX
Rasonic 樂信,RC-TS18UV
